,,Duplicates,enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
OwnersOwnerContactContactPerson,Initials,#N/A,GL,MasterFiles,OwnersOwnerContactContactPersonInitials,,TEXT,String,Initials
OwnersOwnerContactContactPerson,LastName,lastName,GL,MasterFiles,OwnersOwnerContactContactPersonLastName,,TEXT,String,LastName
OwnersOwnerContactContactPerson,LastNamePrefix,#N/A,GL,MasterFiles,OwnersOwnerContactContactPersonLastNamePrefix,,TEXT,String,"A textual expression of a prefix that precedes the family persons family name such as Van, Von"
OwnersOwner,Name,name,GL,MasterFiles,OwnersOwnerName,,TEXT,String,Owner name
OwnersOwnerAddress,Number,#N/A,GL,MasterFiles,OwnersOwnerAddressNumber,,TEXT,String,Number of the building
OwnersOwnerContactContactPerson,Other…,#N/A,GL,MasterFiles,OwnersOwnerContactContactPersonOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
OwnersOwner,OwnerID,ownerId,GL,MasterFiles,OwnersOwnerOwnerID,,TEXT,String,Reference to the owner Master File
OwnersOwnerAddress,PostalCode,#N/A,GL,MasterFiles,OwnersOwnerAddressPostalCode,,TEXT,String,Post Code or Zip Code
OwnersOwner,RegistrationNumber,registrationNumber,GL,MasterFiles,OwnersOwnerRegistrationNumber,,TEXT,String,"Unique number to identify the company in the accounting records, issued by a government body or created by the company for internal purposes to identify different entities within their corporate group."
OwnersOwnerContactContactPerson,Salutation,#N/A,GL,MasterFiles,OwnersOwnerContactContactPersonSalutation,,TEXT,String,"A formal sign or expression of greeting, expressed as text, that is appropriate for the person such as Right Honourable, Monsignor or Madam."
OwnersOwnerBankAccount,SortCode,sortCode,GL,MasterFiles,OwnersOwnerBankAccountSortCode,,TEXT,String,Identifier for the bank branch at which the account in held. May be needed to uniquely identify the account.
OwnersOwnerAddress,StreetName,#N/A,GL,MasterFiles,OwnersOwnerAddressStreetName,,TEXT,String,Name of the street
OwnersOwnerTaxRegistration,TaxNumber,taxNumber,GL,MasterFiles,OwnersOwnerTaxRegistrationTaxNumber,,TEXT,String,The tax registration number for the particular tax regime referred to by TaxType f.i VAT number.
OwnersOwnerTaxRegistration,TaxRegistrationNumber,taxRegistrationNumber,GL,MasterFiles,OwnersOwnerTaxRegistrationTaxRegistrationNumber,,TEXT,String,Unique number issued by a Revenue Body for use by the company.
OwnersOwnerTaxRegistration,TaxType,taxType,GL,MasterFiles,OwnersOwnerTaxRegistrationTaxType,,TEXT,String,For use where information reported in the SAF-T covers more than one type of tax regime: to identify the type of tax regime; to identify the type of tax regime to which the entity relates.
OwnersOwnerTaxRegistration,TaxVerificationDate,taxVerificationDate,GL,MasterFiles,OwnersOwnerTaxRegistrationTaxVerificationDate,,DATE,Date,The date that the tax registration details referred to above were last checked.
OwnersOwnerContact,Telephone,telephone,GL,MasterFiles,OwnersOwnerContactTelephone,,TEXT,String,Company telephone number
OwnersOwnerContactContactPerson,Title,title,GL,MasterFiles,OwnersOwnerContactContactPersonTitle,,TEXT,String,Title
OwnersOwnerContact,Website,website,GL,MasterFiles,OwnersOwnerContactWebsite,,TEXT,String,Company website URL
PhysicalStockPhysicalStockEntry,ClosingStockQuantity,closingStockQuantity,IV,MasterFiles,PhysicalStockPhysicalStockEntryClosingStockQuantity,,NUMERIC,Decimal,IN UOM Physical Stock for selection period
PhysicalStockPhysicalStockEntry,ClosingStockValue,closingStockValue,IV,MasterFiles,PhysicalStockPhysicalStockEntryClosingStockValue,,NUMERIC,Decimal,Closing stock value in the headers default currency for selection period
PhysicalStockPhysicalStockEntry,LocationID,locationId,IV,MasterFiles,PhysicalStockPhysicalStockEntryLocationID,,TEXT,String,Location of goods in warehouse
PhysicalStockPhysicalStockEntry,OpeningStockQuantity,openingStockQuantity,IV,MasterFiles,PhysicalStockPhysicalStockEntryOpeningStockQuantity,,NUMERIC,Decimal,IN UOM Physical Stock for selection period
PhysicalStockPhysicalStockEntry,OpeningStockValue,openingStockValue,IV,MasterFiles,PhysicalStockPhysicalStockEntryOpeningStockValue,,NUMERIC,Decimal,In the header's currency code for the selection period
PhysicalStockPhysicalStockEntry,Other…,#N/A,IV,MasterFiles,PhysicalStockPhysicalStockEntryOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
PhysicalStockPhysicalStockEntry,OwnerID,ownerId,IV,MasterFiles,PhysicalStockPhysicalStockEntryOwnerID,,TEXT,String,Reference to the owner master file
PhysicalStock,ProductCode,#N/A,IV,MasterFiles,PhysicalStockProductCode,,TEXT,String,Product code
PhysicalStock,ProductStatus,#N/A,IV,MasterFiles,PhysicalStockProductStatus,,TEXT,String,"To determine whether the product/stockaccount is discontinued, damaged, absolete, activet, etc."
PhysicalStock,ProductType,#N/A,IV,MasterFiles,PhysicalStockProductType,,TEXT,String,"To determine whether the product/stockaccount is raw material, work in progress, finished good, merchandise for resale etc."
PhysicalStockPhysicalStockEntry,StockAccountCommodityCode,stockAccountCommodityCode,IV,MasterFiles,PhysicalStockPhysicalStockEntryStockAccountCommodityCode,,TEXT,String,Classification for import/export
PhysicalStockPhysicalStockEntry,StockAccountNo,#N/A,IV,MasterFiles,PhysicalStockPhysicalStockEntryStockAccountNo,,TEXT,String,"Stock batch, lot, serial identification. Not used when there is exactly 1 physicalStock entry per ProductCode"
PhysicalStockPhysicalStockEntryStockCharacteristics,StockCharacteristic,stockCharacteristic,IV,MasterFiles,PhysicalStockPhysicalStockEntryStockCharacteristicsStockCharacteristic,,TEXT,String,User definable characteristics of the goods Predescribed TABLE is possible.
PhysicalStockPhysicalStockEntryStockCharacteristics,StockCharacteristicValue,stockCharacteristicValue,IV,MasterFiles,PhysicalStockPhysicalStockEntryStockCharacteristicsStockCharacteristicValue,,NUMERIC,decimal,"The weight, pack size, colour etc."
PhysicalStockPhysicalStockEntry,UnitPrice,unitPrice,IV,MasterFiles,PhysicalStockPhysicalStockEntryUnitPrice,,NUMERIC,Decimal,Base Unit for the stock account in the header's default currency.
PhysicalStockPhysicalStockEntry,UOMPhysicalStock,#N/A,IV,MasterFiles,PhysicalStockPhysicalStockEntryUOMPhysicalStock,,NUMERIC,Decimal,Not needed when UOMPhysicalStock equals UOMBase
PhysicalStockPhysicalStockEntry,UOMToUOMBaseConversionFactor,uomToUOMbaseConversionFactor,IV,MasterFiles,PhysicalStockPhysicalStockEntryUOMToUOMBaseConversionFactor,,NUMERIC,Decimal,Not needed when UOMPhysicalStock equals UOMBase
PhysicalStockPhysicalStockEntry,WarehouseID,#N/A,IV,MasterFiles,PhysicalStockPhysicalStockEntryWarehouseID,,TEXT,String,"Warehouse where goods held - also to identify work in progress, or stock in transit"
ProductsProduct,Description,description,IV,MasterFiles,ProductsProductDescription,,TEXT,String,Description of goods or services
ProductsProduct,GoodsServicesID,#N/A,IV,MasterFiles,ProductsProductGoodsServicesID,,TEXT,String,Indicator showing if goods or services (Predescribed TABLE if possible)
ProductsProduct,Other…,#N/A,IV,MasterFiles,ProductsProductOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
ProductsProduct,ProductCode,#N/A,IV,MasterFiles,ProductsProductProductCode,,TEXT,String,Product code
ProductsProduct,ProductCommodityCode,#N/A,IV,MasterFiles,ProductsProductProductCommodityCode,,TEXT,String,Classification for import/export
ProductsProduct,ProductGroup,#N/A,IV,MasterFiles,ProductsProductProductGroup,,TEXT,String,Code identifying aggregated level at which similar products are grouped
ProductsProduct,ProductNumberCode,#N/A,IV,MasterFiles,ProductsProductProductNumberCode,,TEXT,String,EAN or other code
ProductsProductTax,TaxCode,taxCode,IV,MasterFiles,ProductsProductTaxTaxCode,,TEXT,String,Tax Code for lookup in tables
ProductsProductTax,TaxType,taxType,IV,MasterFiles,ProductsProductTaxTaxType,,TEXT,String,Tax type for look-up in tables
ProductsProduct,UOMBase,#N/A,IV,MasterFiles,ProductsProductUOMBase,,TEXT,String,Unit of measure for Stock Administration for this product - Predescribed TABLE is possible.
ProductsProduct,UOMStandard,#N/A,IV,MasterFiles,ProductsProductUOMStandard,,TEXT,String,"A standard Unit of Measure applicable for this product, ex. Kilo, metres, Litres "
ProductsProduct,UOMToUOMBaseConversionFactor,uomToUOMbaseConversionFactor,IV,MasterFiles,ProductsProductUOMToUOMBaseConversionFactor,,NUMERIC,Decimal,Conversion factor of the UOM to UOM Base
ProductsProduct,ValuationMethod,#N/A,IV,MasterFiles,ProductsProductValuationMethod,,TEXT,String,"FIFO, LIFO, Average cost etc"
SuppliersSupplierAddress,Country,#N/A,AP,MasterFiles,SuppliersSupplierAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
SuppliersSupplier,AccountID,accountId,AP,MasterFiles,SuppliersSupplierAccountID,,TEXT,String,"General Legder Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
SuppliersSupplierAddress,AdditionalAddressDetail,additionalAddressDetail,AP,MasterFiles,SuppliersSupplierAddressAdditionalAddressDetail,,TEXT,String,Address lines
SuppliersSupplierAddress,AddressType,#N/A,AP,MasterFiles,SuppliersSupplierAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
SuppliersSupplierBankAccount,BankAccountName,bankAccountName,AP,MasterFiles,SuppliersSupplierBankAccountBankAccountName,,TEXT,String,The name of the individual or company holding the bank account.
SuppliersSupplierBankAccount,BankAccountNumber,bankAccountNumber,AP,MasterFiles,SuppliersSupplierBankAccountBankAccountNumber,,TEXT,String,The number allocated to the account by the individual's or company's own bank.
SuppliersSupplierContactContactPerson,BirthName,#N/A,AP,MasterFiles,SuppliersSupplierContactContactPersonBirthName,,TEXT,String,BirthName
SuppliersSupplierAddress,Building,#N/A,AP,MasterFiles,SuppliersSupplierAddressBuilding,,TEXT,String,Building Address detail
SuppliersSupplierAddress,City,#N/A,AP,MasterFiles,SuppliersSupplierAddressCity,,TEXT,String,City or main Town
SuppliersSupplier,ClosingCreditBalance,#N/A,AP,MasterFiles,SuppliersSupplierClosingCreditBalance,,NUMERIC,Decimal,Credit balance at the end date of the selection period in the headers default currency.
SuppliersSupplier,ClosingDebitBalance,#N/A,AP,MasterFiles,SuppliersSupplierClosingDebitBalance,,NUMERIC,Decimal,Debit balance at the end date of the selection period in the headers default currency.
SuppliersSupplierContact,Email,email,AP,MasterFiles,SuppliersSupplierContactEmail,,TEXT,String,Company e-mail address
SuppliersSupplierContact,Fax,fax,AP,MasterFiles,SuppliersSupplierContactFax,,TEXT,String,Company fax number
SuppliersSupplierContactContactPerson,FirstName,firstName,AP,MasterFiles,SuppliersSupplierContactContactPersonFirstName,,TEXT,String,FirstName
SuppliersSupplierBankAccount,IBANNumber,IBANNumber,AP,MasterFiles,SuppliersSupplierBankAccountIBANNumber,,TEXT,String,International Bank Account Number ISO 13616
SuppliersSupplierContactContactPerson,Initials,#N/A,AP,MasterFiles,SuppliersSupplierContactContactPersonInitials,,TEXT,String,Initials
SuppliersSupplierContactContactPerson,LastName,lastName,AP,MasterFiles,SuppliersSupplierContactContactPersonLastName,,TEXT,String,LastName
SuppliersSupplierContactContactPerson,LastNamePrefix,#N/A,AP,MasterFiles,SuppliersSupplierContactContactPersonLastNamePrefix,,TEXT,String,"A textual expression of a prefix that precedes the family persons family name such as Van, Von"
SuppliersSupplier,Name,name,AP,MasterFiles,SuppliersSupplierName,,TEXT,String,Supplier name
SuppliersSupplierAddress,Number,#N/A,AP,MasterFiles,SuppliersSupplierAddressNumber,,TEXT,String,Number of the building
SuppliersSupplier,OpeningCreditBalance,#N/A,AP,MasterFiles,SuppliersSupplierOpeningCreditBalance,,NUMERIC,Decimal,Credit balance at the start date of the selection period in the headers default currency.
SuppliersSupplier,OpeningDebitBalance,#N/A,AP,MasterFiles,SuppliersSupplierOpeningDebitBalance,,NUMERIC,Decimal,Debit balance at the start date of the selection period in the headers default currency.
SuppliersSupplierContactContactPerson,Other…,#N/A,AP,MasterFiles,SuppliersSupplierContactContactPersonOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
SuppliersSupplier,Other…,#N/A,AP,MasterFiles,SuppliersSupplierOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
SuppliersSupplierAddress,PostalCode,#N/A,AP,MasterFiles,SuppliersSupplierAddressPostalCode,,TEXT,String,Post Code or Zip Code
SuppliersSupplier,RegistrationNumber:,#N/A,AP,MasterFiles,SuppliersSupplierRegistrationNumber:,,TEXT,String,"Unique number to identify the company in the accounting records, issued by a government authority or created by the company for internal purposes to identify different entities within their corporate group."
SuppliersSupplierContactContactPerson,Salutation,#N/A,AP,MasterFiles,SuppliersSupplierContactContactPersonSalutation,,TEXT,String,"A formal sign or expression of greeting, expressed as text, that is appropriate for the person such as Right Honourable, Monsignor or Madam."
SuppliersSupplier,SelfBillingIndicator,selfBillingIndicator,AP,MasterFiles,SuppliersSupplierSelfBillingIndicator,,TEXT,String,Indicator showing if a self-billing agreement exists between the customer and the supplier
SuppliersSupplierBankAccount,SortCode,sortCode,AP,MasterFiles,SuppliersSupplierBankAccountSortCode,,TEXT,String,Identifier for the bank branch at which the account in held. May be needed to uniquely identify the account.
SuppliersSupplierAddress,StreetName,#N/A,AP,MasterFiles,SuppliersSupplierAddressStreetName,,TEXT,String,Name of the street
SuppliersSupplier,SupplierID,supplierId,AP,MasterFiles,SuppliersSupplierSupplierID,,TEXT,String,Unique code for the supplier
SuppliersSupplierTaxRegistration,TaxNumber,taxNumber,AP,MasterFiles,SuppliersSupplierTaxRegistrationTaxNumber,,TEXT,String,The tax registration number for the particular tax regime referred to by TaxType f.i VAT number.
SuppliersSupplierTaxRegistration,TaxRegistrationNumber,taxRegistrationNumber,AP,MasterFiles,SuppliersSupplierTaxRegistrationTaxRegistrationNumber,,TEXT,String,Unique number issued by a Revenue Body for use by the company.
SuppliersSupplierTaxRegistration,TaxType,taxType,AP,MasterFiles,SuppliersSupplierTaxRegistrationTaxType,,TEXT,String,For use where information reported in the SAF-T covers more than one type of tax regime: to identify the type of tax regime; to identify the type of tax regime to which the entity relates.
SuppliersSupplierTaxRegistration,TaxVerificationDate,taxVerificationDate,AP,MasterFiles,SuppliersSupplierTaxRegistrationTaxVerificationDate,,DATE,Date,The date that the tax registration details referred to above were last checked.
SuppliersSupplierContact,Telephone,telephone,AP,MasterFiles,SuppliersSupplierContactTelephone,,TEXT,String,Company telephone number
SuppliersSupplierContactContactPerson,Title,title,AP,MasterFiles,SuppliersSupplierContactContactPersonTitle,,TEXT,String,Title
SuppliersSupplierContact,Website,website,AP,MasterFiles,SuppliersSupplierContactWebsite,,TEXT,String,Company website URL
SuppliersSupplierAddress,Region,#N/A,AP,MasterFiles,SuppliersSupplierAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
SuppliersSupplierTaxRegistration,TaxAuthority,taxAuthority,AP,MasterFiles,SuppliersSupplierTaxRegistrationTaxAuthority,,TEXT,String,Identification of the Revenue Body to which this taxtype refers.
TaxonomiesTaxonomyTaxonomyElement,AccountID,accountId,GL,MasterFiles,TaxonomiesTaxonomyTaxonomyElementAccountID,,TEXT,String,"General Ledger Account code for taxonomyReference/TaxonomyCode. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
TaxonomiesTaxonomyTaxonomyElement,TaxonomyClusterID,#N/A,GL,MasterFiles,TaxonomiesTaxonomyTaxonomyElementTaxonomyClusterID,,TEXT,String,Additional reference to specific taxonomy element
TaxonomiesTaxonomyTaxonomyElement,TaxonomyCode,#N/A,GL,MasterFiles,TaxonomiesTaxonomyTaxonomyElementTaxonomyCode,,TEXT,String,Reference to specific taxonomy element
TaxonomiesTaxonomyTaxonomyElement,TaxonomyyClusterContextID,#N/A,GL,MasterFiles,TaxonomiesTaxonomyTaxonomyElementTaxonomyyClusterContextID,,TEXT,String,Additional reference to specific taxonomy element - Context of ID.
TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRate,CurrencyAmount,#N/A,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRateCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRate,Amount,amount,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRateAmount,,NUMERIC,Decimal,In the header's default currency
TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRate,ExchangeRate,#N/A,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRateExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRate,CurrencyCode,#N/A,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsFlatTaxRateCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
TaxTableTaxTableEntryTaxCodeDetails,Country,#N/A,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
TaxTableTaxTableEntryTaxCodeDetails,ExpirationDate,expirationDate,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsExpirationDate,,DATE,Date,Representing the ending date for this entity
TaxTableTaxTableEntryTaxCodeDetails,Region,#N/A,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
TaxTableTaxTableEntryTaxCodeDetails,EffectiveDate,effectiveDate,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsEffectiveDate,,DATE,Date,Representing the starting date for this entity
TaxTableTaxTableEntryTaxCodeDetails,Description,description,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsDescription,,TEXT,String,Description of the Tax Code
TaxTableTaxTableEntryTaxCodeDetails,TaxPercentage,taxPercentage,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsTaxPercentage,,NUMERIC,Decimal,Tax percentage
TaxTableTaxTableEntryTaxCodeDetails,TaxCode,taxCode,GL,MasterFiles,TaxTableTaxTableEntryTaxCodeDetailsTaxCode,,TEXT,String,Tax Code for lookup in tables
TaxTableTaxTableEntry,TaxType,taxType,GL,MasterFiles,TaxTableTaxTableEntryTaxType,,TEXT,String,Tax type for look-up in tables
TaxTableTaxTableEntry,Description,description,GL,MasterFiles,TaxTableTaxTableEntryDescription,,TEXT,String,Description of Tax Type
UOMTableUOMTableEntry,Description,description,IV,MasterFiles,UOMTableUOMTableEntryDescription,,TEXT,String,Description of UOM
UOMTableUOMTableEntry,UnitOfMeasure,unitOfMeasure,IV,MasterFiles,UOMTableUOMTableEntryUnitOfMeasure,,TEXT,String,Quantity unit of measure e.g pack of 12
JournalTransactionLine,AccountID,accountId,GL,GeneralLedgerEntries,JournalTransactionLineAccountID,,TEXT,String,GL Code for individual account
JournalTransactionLineAnalysisAnalysisAmount,Amount,amount,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisAmountAmount,,NUMERIC,Decimal,In the headers default currency.
JournalTransactionLineTaxInformationTaxAmount,Amount,amount,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency.
JournalTransactionLineCreditAmount,Amount,amount,GL,GeneralLedgerEntries,JournalTransactionLineCreditAmountAmount,,NUMERIC,Decimal,In the headers default currency.
JournalTransactionLineDebitAmout,Amount,amount,GL,GeneralLedgerEntries,JournalTransactionLineDebitAmoutAmount,,NUMERIC,Decimal,In the headers default currency.
JournalTransactionLineAnalysis,AnalysisID,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisID,,TEXT,String,Value of the analysisID; ex which cost centre applies
JournalTransactionLineAnalysis,AnalysisType,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisType,,TEXT,String,"Analysis code identifier; cost centre, cost unit, cost type, project, etc Refers to the MasterFile AnalysisTypeTable"
JournalTransaction,BatchID,batchId,GL,GeneralLedgerEntries,JournalTransactionBatchID,,TEXT,String,Systems generated batch ID.
JournalTransactionLineAnalysisAnalysisAmount,CurrencyAmount,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
JournalTransactionLineTaxInformationTaxAmount,CurrencyAmount,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
JournalTransactionLineCreditAmount,CurrencyAmount,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineCreditAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
JournalTransactionLineDebitAmout,CurrencyAmount,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineDebitAmoutCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
JournalTransactionLineAnalysisAnalysisAmount,CurrencyCode,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
JournalTransactionLineTaxInformationTaxAmount,CurrencyCode,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
JournalTransactionLineCreditAmount,CurrencyCode,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineCreditAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
JournalTransactionLineDebitAmout,CurrencyCode,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineDebitAmoutCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
JournalTransaction,CustomerID,customerId,GL,GeneralLedgerEntries,JournalTransactionCustomerID,,TEXT,String,Unique code for the customer 
JournalTransactionLine,CustomerID,customerId,GL,GeneralLedgerEntries,JournalTransactionLineCustomerID,,TEXT,String,Unique code for the customer
JournalTransaction,Description,description,GL,GeneralLedgerEntries,JournalTransactionDescription,,TEXT,String,Description of Journal transaction
JournalTransactionLine,Description,description,GL,GeneralLedgerEntries,JournalTransactionLineDescription,,TEXT,String,Description of the Journal line item.
Journal,Description,description,GL,GeneralLedgerEntries,JournalDescription,,TEXT,String,Description of the journal
JournalTransactionLineAnalysisAnalysisAmount,ExchangeRate,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineAnalysisAnalysisAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
JournalTransactionLineTaxInformationTaxAmount,ExchangeRate,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
JournalTransactionLineCreditAmount,ExchangeRate,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineCreditAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
JournalTransactionLineDebitAmout,ExchangeRate,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineDebitAmoutExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
JournalTransaction,GLPostingDate,glPostingDate,GL,GeneralLedgerEntries,JournalTransactionGLPostingDate,,DATE,Date,Date posting to GL
Journal,JournalID,journalId,GL,GeneralLedgerEntries,JournalJournalID,,TEXT,String,"Source GL journal identifier, or invoices and payments in single ledger systems"
,NumberOfEntries,#N/A,GL,GeneralLedgerEntries,NumberOfEntries,,TEXT,String,Number of entries
JournalTransactionLine,Other…,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
JournalTransaction,Period,period,GL,GeneralLedgerEntries,JournalTransactionPeriod,,TEXT,String,Accounting Period
Journal,PeriodYear,periodYear,GL,GeneralLedgerEntries,JournalPeriodYear,,TEXT,String,The year of the Accounting period
JournalTransactionLine,RecordID,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineRecordID,,TEXT,String,Identifier to trace entry back 
JournalTransactionLine,SourceDocumentID,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineSourceDocumentID,,TEXT,String,Source document number to which line relates
JournalTransaction,SourceID,sourceId,GL,GeneralLedgerEntries,JournalTransactionSourceID,,TEXT,String,Details of person or application that entered the transaction
JournalTransaction,SupplierID,supplierId,GL,GeneralLedgerEntries,JournalTransactionSupplierID,,TEXT,String,Unique code for the supplier
JournalTransactionLine,SupplierID,supplierId,GL,GeneralLedgerEntries,JournalTransactionLineSupplierID,,TEXT,String,Unique code for the supplier
JournalTransaction,SystemEntryDate,#N/A,GL,GeneralLedgerEntries,JournalTransactionSystemEntryDate,,DATE,Date,Date captured by system
JournalTransaction,SystemID,systemId,GL,GeneralLedgerEntries,JournalTransactionSystemID,,TEXT,String,Unique number created by the system for the document
JournalTransactionLineTaxInformation,TaxBase,taxBase,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxBase,,NUMERIC,Decimal,"The base on which the tax is calculated. This can be an amount, or a quantity, eg, litres."
JournalTransactionLineTaxInformation,TaxBaseDescription,taxBaseDescription,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxBaseDescription,,TEXT,String,"Description of the value in the TaxBase, Eg, Litres for excises on alcoholic bevarages."
JournalTransactionLineTaxInformation,TaxCode,taxCode,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxCode,,TEXT,String,Tax Code for lookup in tables
JournalTransactionLineTaxInformation,TaxDeclarationPeriod,taxDeclarationPeriod,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxDeclarationPeriod,,DATE,Date,The identification of the declaration/return in which the taxamount is reported to the Revenue body.
JournalTransactionLineTaxInformation,TaxExemptionReason,taxExemptionReason,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxExemptionReason,,TEXT,String,Tax exemption or reduction reason or rationale
JournalTransactionLineTaxInformation,TaxPercentage,taxPercentage,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxPercentage,,NUMERIC,Decimal,Tax percentage
JournalTransactionLineTaxInformation,TaxType,taxType,GL,GeneralLedgerEntries,JournalTransactionLineTaxInformationTaxType,,TEXT,String,Tax type for look-up in tables
,TotalCredit,#N/A,GL,GeneralLedgerEntries,TotalCredit,,NUMERIC,Decimal,The total of all credit amounts in the headers default currency.
,TotalDebit,#N/A,GL,GeneralLedgerEntries,TotalDebit,,NUMERIC,Decimal,The total of all debit amounts in the headers default currency.
JournalTransaction,TransactionDate,transactionDate,GL,GeneralLedgerEntries,JournalTransactionTransactionDate,,DATE,Date,Document date
JournalTransaction,TransactionID,transactionId,GL,GeneralLedgerEntries,JournalTransactionTransactionID,,TEXT,String,"Cross-reference to GL pposting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
JournalTransaction,TransactionType,transactionType,GL,GeneralLedgerEntries,JournalTransactionTransactionType,,TEXT,String,"Type of journaltransaction; normal, (automated) periodically, etc."
Journal,Type,#N/A,GL,GeneralLedgerEntries,JournalType,,TEXT,String,Grouping mechanism for journals
