BusinessArea,Entity,Sub Entity,Attributes,Keys,Data Type,Length,Description,
Property & Equipment,Property,,OutstandingEncumbranceExistsIndicator,,boolean,2048,A right-of-way granted to a person or company authorizing access to or over the owner's land.,
Property & Equipment,Property,,OwnerOccupiedPropertyIndicator,,boolean,2048,"An obstruction, building, or part of a building that intrudes beyond a legal boundary onto neighboring private or public land, or a building extending beyond the building line.",
Property & Equipment,Property,,NonOwnerOccupantIndicator,,boolean,512,"A description of existing judgment(s) against the property. Judgments are a decision made by a court of law. In judgments that require the repayment of a debt, the court may place a lien against the debtor's real property as collateral for the judgment's creditor. A lien on the property of a debtor resulting from the decree of a court.",
Property & Equipment,Property,,JudgmentExistsIndicator,,boolean,,"A title that is free and clear of objectionable liens, clouds, or other title defects. A title which enables an owner to sell his property freely to others and which others will accept without objection.",
Property & Equipment,Property,,PrimaryResidenceIndicator,,boolean,,Indicates that the property is a new home.,
Property & Equipment,Property,,NumberOfLeasedUnits,,decimal,,Indicates that outstanding encumbrances exist upon the property.,
Property & Equipment,Property,,AvailableLeaseSquareFootage,,decimal,,"""Owner Occupied"" means the property is the owner's primary residence.",
Property & Equipment,Property,,CurrentYearLeaseIncomeAmount,,decimal,,Indicates that the property is occupied by other than the owner.,
Property & Equipment,Property,,NumberOfFloors,,int32,,"A decision made by a court of law. In judgments that require the repayment of a debt, the court may place a lien against the debtor's real property as collateral for the judgment's creditor. A lien on the property of a debtor resulting from the decree of a court.",
Property & Equipment,Property,,FloorToAreaRatioFar,,decimal,,The residential property physically occupied by an owner as the principal home domicile.,
Property & Equipment,Property,,TotalFloorSpaceSqFt,,decimal,13,The number of units that may be leased.,
Property & Equipment,Property,,BuildingBaseSqFt,,decimal,13,The square footage of available leasable space.,
Property & Equipment,Property,,CentralBusinessDistrictCbdPropertyIndicator,,boolean,13,The amount of lease income derived for the last year.,
Property & Equipment,Property,,PropertyClearTitleIndicator,,boolean,,The number of floor of the commercial property.,
Property & Equipment,Property,,PropertyTypeId,FK,int32,13,"A ratio of the relationship between the total amount of floor space in a multi-story building and the base of that building. FAR's are dictated by zoning laws, in effect, stipulate the maximum number of stories a building may have.",
Property & Equipment,Property,,OwnershipTypeId,FK,int32,13,"The total floor space of the building/property base, which is used to calculate the FAR. FAR's are dictated by zoning laws, in effect, stipulate the maximum number of stories a building may have.",
Property & Equipment,Property,,UnitId,FK,,13,"The square footage of the building/property base, which is used to calculate the FAR. FAR's are dictated by zoning laws, in effect, stipulate the maximum number of stories a building may have.",
Property & Equipment,Property,,PropertyDepth,,,,"Indicates that the property is the downtown section of a city, generally consisting of retail, office, hotel, entertainment, and government land uses with some high-density housing.",
Property & Equipment,Property,,PropertyFrontage,,double,,A title that is free of liens or any legal question as to the ownership of the property.,
Property & Equipment,Property,,PropertyExceeds18mFFLIndicator,,boolean,,The unique identifier of a Property Type.,
Property & Equipment,Property,,ConstructionMethod,,string,,The unique identifier of an Ownership Type.,
Property & Equipment,Property,,OccupancyPercent,,double,,,
Property & Equipment,Property,,YearBuiltDate,,date,,,
Property & Equipment,Property,,Adjacency,,string,,,
Property & Equipment,Property,,FormId,FK,int32,,Indicates if the property exceeds 18m in height when measured from the ground to the finished floor level of the top storey (relating to fire safety codes specified in UK Building Regulations) [1],
Property & Equipment,Property,,VerticalRiseCode,,string,,"Newland	Similar to Myton (ie, based on storey height concrete panels) but with steel used for first floor ring beam, floor joists and roof trusses. Vertical panel joints left exposed externally and concrete columns may be exposed on corners and party walls. Roofs are twin pitched with a cladding of asbestos cement sheets. [2]
Orlit	Storey height concrete columns with main beams spanning from front to rear. Cavity built external walls comprising an outer leaf of 4' (or 2') by l'4"" paving stabs and an inner leaf of concrete blocks may be rendered externally. Roofs may be of flat construction (pre-cast concrete slabs finished with Asphalt and Bitumen) or pitched and tiled. [2]
Reema Hollow Panel	Storey height large pre-cast concrete hollow panels with cast in situ concrete columns and beams. Panels have a plain or exposed aggregate finish externally. Roofs are either hipped or twin pitched with tiling. [2]
Schindler and Hawksley SGS	External cladding of brickwork concealing a structural frame of cast in situ concrete columns and ring beams, with a further beam running from front to rear. Roofs are of conventional pitched and tiled design. [2]
Stent	Storey height 12"" wide pre-cast concrete T-section panels rising from concrete kerb units. Ring beam at first floor height. External finish can be either masonry paint, rough cast render or exposed aggregate. Roofs may be flat or of traditional pitched and tiled construction, possibly with hipped gable ends. [2]
Stonecrete	PRC framework of storey height concrete posts at 2' 6"" intervals, located in string courses at first floor and caves level. Plain concrete panels (2 per storey height) fit between the posts to form the external cladding. Internal linings arc of 2"" reinforced plaster slabs. Roofs are traditionally built, hipped and tiled. [2]
Underdown	Pre-cast concrete slabs, 3' x 12"" with cast in situ concrete columns and ring beams. The wall slabs are rendered externally and plastered internally. Roofs are traditional timber framed pitched and tiled. [2]
Unity and Butterfly	Storey height precast concrete columns linked at first floor and eaves height by steel plate beams running front to rear. Outer leaf of 3' wide concrete Panels, inner leaf of concrete blockwork or dry lining. Pitched roof constructed of timber or concrete rafters with a covering of tiles laid on asbestos boards. [2]
Waller	Storey height pre-cast concrete panels carried on cast in situ Concrete columns and ring beams. Inner leaf also of Storey height concrete panels. Concrete panels and joists from first floor, with concrete beams and ceiling panels and eaves height. Pitched roof with cladding of large, through shaped concrete sections extending from eaves to ridge. [2]
Wessex	Storey height PRC panels with concrete beams at first floor and eaves height linked by further beams running front to rear at first floor height. Corners formed by structural columns. Traditionally built pitched and tiled roof. [2]
Winget	External walk comprise 2 leaves of 3' x 9"" PRC panels with cast in situ piers and ring beams. Building corners formed by pre-cast quoin blocks. Walls are rendered externally and plastered internally. Traditionally built pitched and tiled roof. [2]
Woolaway	Structural framework of storey height PRC posts and plinths carrying inner and outer leaves of 4' x 2' aerated concrete panels, rendered externally. Traditionally built pitched and tiled roof. [2]
Arrowhead	Lightweight steel frame constructed of channel members supported by side plates. [2]
British Iron and Steel Federation (BISF)	Structural steel frame in light sections. [2]
Dorlonco	Steel frame with metal lathing and rendering. [2]
Hawthorne Leslie	Steel stanchions with timber and steel beams. [2]
Howard	Steel stanchions, lattice beams between stanchions in external walls, steel joists spanning from a spine wall to perimeter walls. [2]",
Property & Equipment,Property,,PropertyManagerParty,,string,,,
Property & Equipment,Property,,RelatedPropertyId,FK,int32,,"Although specified as a date, the day and month may be ignored. However, if a more specific build date is known and required by context, month and/or day of month may be included.",
Property & Equipment,Property,,UnitFeatureIncludedIndicator,,boolean,,"Describes the nature of the physical connection between this building and surrounding buildings, for example, detached or terraced",
Property & Equipment,Property,,UnitFeatureIncludedType,,string,,"Describes the form, shape and/or envelope of a building's construction and purpose",
Property & Equipment,Property,,Type,,string,,"Low-rise	Typically up to four storeys, although definitions vary in context
Mid-rise	Typically four to ten storeys, although definitions vary in context
High-rise/Tower	Typically more than ten storeys, although definitions vary in context",
Property & Equipment,Property,,TitleStatusId,FK,int32,,Details of the Property Manager responsible for managing the property,
Property & Equipment,Property,,"PropertyIntroduction	",,string,,The unique identifier of a Related Property.,
Property & Equipment,Property,,AmenityCode,,string,,,
Property & Equipment,Property,,AreaOverview,,,,"Refrigerator: This unit type includes a refrigerator.Oven/Range: This unit type includes an oven/range.Microwave: This unit type includes a microwave.Dishwasher: This unit type includes a dishwasher.Garbage Disposal: This unit type includes a garbage disposal.Security System / Alarms: This unit type includes a security or alarm system.Security Entrance: There is a security entrance into the property.Washer and Dryer Connections: This unit type includes washer and dryer connections.Internet Access: This unit type includes Internet acess.Telephone: This unit type includes telephone acess.Cable TV: This unit type includes Cable TV acess.Fiber Optics: This unit type includes fiber optics acess.Whirlpool/Sauna: This unit type includes a whirlpool or sauna.Furnished: This unit type is furnished.Porch or Deck: This unit type has a patio, porch or deck",
Property & Equipment,Property,,TotalArea,,boolean,,,
Property & Equipment,Property,,OverviewHighlights,,,,,
Property & Equipment,Property,,ConstructionStatusCode,,,,,
Property & Equipment,Property,,GrossLandArea,FK,,,"
A/C
Air lines
Buss Ducts
Commuter rail
Cooler
Empowerment zone
Floor drains
Process gas
Raised floor
Skylights
Fenced lot
Metal halide
SCIF
AirConditioner
Alarm
BasketballCourt
BusinessCenter
CableSat
CeilingFan
ChildCare
Concierge
CoverPark
DishWasher
Disposal
Dryer
Fireplace
FitnessCenter
Furnished
Garage
Gate
HighSpeed Internet
LargeClosets
Laundry
Microwave
NightPatrol
Patio
PlayGround
Pool
Racquetball
Sauna
Spa
StorageSpace
TennisCourt
VolleyballCourt
Washer/dryer in unit
WD_Hookup
WheelChair
Atrium
Balconies
Concierge	Concierge
Courtyard
Day care
cleaner	Dry cleaner
High speed Internet
Mail room
Mixed use
Rooftop Terrace
Tennis courts
Subway
On-site management
Food service
Conference facility
Jogging trail",
Property & Equipment,Property,,GrossLeasableArea,FK,,,,
Property & Equipment,Property,,,,,,,
Property & Equipment,Property,,ClearHeightMinMeasure,,decimal,,,
Property & Equipment,Property,,ClearHeightMaxMeasure,,decimal,,,
Property & Equipment,Property,,NumberOfPassengerElevators,,double,,,
Property & Equipment,Property,,NumberofFreightElevators,,double,,,
Property & Equipment,Property,,LossFactorPercent,,string,,,
Property & Equipment,Property,,HeatTypeCode,,string,,,
Property & Equipment,Property,,Zoning,,string,,,
Property & Equipment,Property,,IsSprinkleredIndicator,,boolean,,,
Property & Equipment,Property,,HasRailIndicator,,boolean,,,
Property & Equipment,Property,,Power,,string,,,
Property & Equipment,Property,,UtilitiesId,,int32,,"Electric	Electric: Fuel source is electricity.
Gas	Gas: Fuel source is natural gas.
Convection	Convection: Heating is provided through natural convection of heated air.
Forced Air	Forced Air: Heating is provided by forcing heated air through ducts.",
Property & Equipment,Property,,Market,,string,,,
Property & Equipment,Property,,FloorId,FK,int32,,,
Property & Equipment,Property,,BuildingId,FK,int32,,,
Property & Equipment,Property,Component ,ComponentId,PK,int32,,,
Property & Equipment,Property,Component ,PropertyId,FK,int32,,,
Property & Equipment,Property,Component ,ComponentCertification,,,,,
Property & Equipment,Property,Component ,ComponentAssetType,,,,,
Property & Equipment,Property,Component ,ComponentAssetList,,,,,
Property & Equipment,Property,Component ,ComponentAsset,,,,,
Property & Equipment,Property,Component ,PropertyId,FK,int32,,,
Property & Equipment,Property,Component ,AssetId,FK,int32,,,
Property & Equipment,Property,SubjectType,SubjectTypeId,PK,int32,,,
Property & Equipment,Property,SubjectType,PropertyId,FK,int32,,,
Property & Equipment,Property,SubjectType,SubjectTypePropertyPerUnitOfMeasure,,string,,,
Property & Equipment,Property,SubjectType,SubjectTypeProperty,,string,,,
Property & Equipment,Property,SubjectType,SubjectPropertyTitleNumber,FK,string,,,
Property & Equipment,Property,SubjectType,SubjectProperty,,string,,,
Property & Equipment,Property,Address,AddressId,PK,int32,,,
Property & Equipment,Property,Address,FlatNumber,,double,,,
Property & Equipment,Property,Address,BuildingNumner,,double,,,
Property & Equipment,Property,Address,Streetnumber,,double,,Water.Sewer.Electric.Cable.Faber,
Property & Equipment,Property,Address,PostCode,,string,,Market Description,
Property & Equipment,Property,Address,PropertyId,FK,string,,,
Property & Equipment,Property,Address,BuildingId,FK,string,,,
Property & Equipment,Property,PropertyType,PropertyTypeId,PK,int32,,The unique identifier of a Property Type.,
Property & Equipment,Property,PropertyType,PropertyTypeName,,string,128,The name of a Property Type.,
Property & Equipment,Property,PropertyType,PropertyTypeDescription,,,512,The description of a Property Type.,
Property & Equipment,Property,Unit,Unit ,,Unit ,, Links the Lease to a Unit. The unit that this lease relates to,
Property & Equipment,Property,Unit,UnitId,PK,int32,,,
Property & Equipment,Property,Unit,NumberOfLettableUnits,,double,,,"Total number of lettable units comprising the property, irrespective of occupation status."
Property & Equipment,Property,Unit,NumberOfVacantUnits,,double,,,Number of physical units in vacant posession. Vacant possession is clear of occupants and of objects which would not be included in the sale of the property.
Property & Equipment,Property,Unit,NumberOfUnits,,double,,,"Total number of lettable residential units in the property, at the end of the period. Includes both vacant and let units."
Property & Equipment,Property,Unit,NumberOfSocialResidentialUnits,,double,,,Number of owned social residential units.
Property & Equipment,Property,Unit,NumberOfResidentialLetUnits,,double,,,Number of fully let residential units in the property at the end of the period. Excludes partially let properties.
Property & Equipment,Building,,BuildingId,PK,int32,,,
Property & Equipment,Building,,BuildingGpsLongitudePosition,,decimal,7,The building GPS position expressed in longitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Building,,BuildingGpsLatitudePosition,,decimal,7,The building GPS position expressed in latitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Building,,BuildingHeight,,int32,,The height of the Building.,
Property & Equipment,Building,,BuildingWidth,,int32,,The width of the Building.,
Property & Equipment,Building,,BuildingDepth,,int32,,The depth of the Building.,
Property & Equipment,Building,,LengthWidthHeightUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Building,,BuildingArea,,,,,
Property & Equipment,Building,,AreaUomId,,,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Building,,OfficeBuildingClass,,string,1024,"Office Building Class provides a broad classification of office space. The core grades that are offered include: A - Highest Quality - The most prestigious building with high quality standard features, state of the art systems B - Average - average systems and finishes C - Poor - functional Some grading systems may include +/-, AA, AAA, or Premium to help provide further differentiations between the grades",
Property & Equipment,Building,,SecurityLevelId,FK,int32,,The unique identifier of the Security Level.,
Property & Equipment,Building,,GrossBuildingAreaMeasure,,,,,
Property & Equipment,Building,,NumberOfFlats,,double,,,
Property & Equipment,Building,,InformationId,FK,int32,,,
Property & Equipment,Building,,StorefrontDescription,,string,1024,,
Property & Equipment,Building,,FeatureIncluded,,,,,
Property & Equipment,Building,,LandToBuildingRatioNumeric,,,,,
Property & Equipment,Building,,NumberOfBuildings,,double,,,
Property & Equipment,Building,,GrossBuildingArea,,,,,
Property & Equipment,Building,,BuildingQualityClassCode,,,,,
Property & Equipment,Building,,LightingSystem,,,,,
Property & Equipment,Building,Floor,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,Building,Floor,FloorId,PK,int32,,The unique identifier of a Floor.,
Property & Equipment,Building,Floor,AssetId,FK,int32,,,
Property & Equipment,Building,Floor,FloorName,FK,string,128,The name of the Floor.,
Property & Equipment,Building,Floor,BuildingId,FK,int32,,The unique identifier of a Building.,
Property & Equipment,Building,Floor,FloorGpsLongitudePosition,,decimal,,The floor GPS position expressed in longitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Building,Floor,FloorGpsLatitudePosition,,decimal,,The floor GPS position expressed in latitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Building,Floor,FloorHeight,,int32,,The height of the Floor.,
Property & Equipment,Building,Floor,FloorWidth,,int32,,The width of the Floor.,
Property & Equipment,Building,Floor,FloorDepth,,int32,,The depth of the Floor.,
Property & Equipment,Building,Floor,LengthWidthHeightUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Building,Floor,FloorArea,,int32,,The depth of the Floor.,
Property & Equipment,Building,Floor,AreaUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Building,Floor,SecurityLevelId,FK,int32,,The unique identifier of the Security Level.,
Property & Equipment,Building,Floor,NumberOfVacantParkingSpaces,,double,,Total number of vacant parking spaces,
Property & Equipment,Building,Floor,ParkingRatioUnitsNumeric,,double,,,
Property & Equipment,Building,Floor,NumberOfUpperFloors,,double,,,
Property & Equipment,Building,Floor,NumberOfBasementLevels,,double,,,
Property & Equipment,Building,Floor,MinimumFloorArea,,double,,,
Property & Equipment,Building,Floor,MaximumFloorArea,,double,,,
Property & Equipment,FeatureCount,,FeatureCountId,PK,int32,,,
Property & Equipment,FeatureCount,,OutdoorTennisCourts,,double,,Outdoor Tennis Courts: Indicate the number of indoor tennis courts on the property.,
Property & Equipment,FeatureCount,,IndoorTennisCourts,,double,,Indoor Tennis Courts: Indicate the number of outdoor tennis courts on the property.,
Property & Equipment,FeatureCount,,NumberofBays,,double,,Number of Bays : Enter the number of bays in the propoerty,
Property & Equipment,FeatureCount,,NoOfFloorsOccupiedByFullFloorTenants,,double,,No. of Floors Occupied By Full-Floor Tenants: Enter the number of bays in the propoerty,
Property & Equipment,FeatureCount,,NumberofLicensedBeds,,double,,Number of Licensed Beds: Enter the number of licensed beds in the property.,
Property & Equipment,FeatureCount,,NumberofMedicaidBeds,,double,,Number of Medicaid Beds: Enter the number of Medicaid beds in the property.,
Property & Equipment,FeatureCount,,NumberofMedicareBeds,,double,,Number of Medicare Beds: Enter the number of Medicare beds in the property.,
Property & Equipment,FeatureCount,,NumberofPrivatePayBeds,,double,,Number of Private-Pay Beds: Enter the number of Private-Pay beds in the property.,
Property & Equipment,FeatureCount,,NumberofOtherBeds,,double,,Number of Other Beds: Enter the number of other beds in the property.,
Property & Equipment,FeatureCount,,BuildingId,FK,int32,,,
Property & Equipment,Changes,,ChangeId,PK,int32,,,
Property & Equipment,Changes,,ChangeBuildingWorkTear,,date,,,
Property & Equipment,Changes,,ChangeOfUseYear,,date,,,
Property & Equipment,Changes,,SubDivisionYear,,date,,,
Property & Equipment,Changes,,ConversionYear,,date,,,
Property & Equipment,Changes,,BusinessActivitiesYear,,date,,,
Property & Equipment,Changes,,GlazingReplacementYear,,string,,,
Property & Equipment,Changes,,BuildingWorkIndicator,,boolean,,,
Property & Equipment,Changes,,OtherConsentRequestedDescription,,string,,,
Property & Equipment,Changes,,ChangeOfUseIndicator,,boolean,,,
Property & Equipment,Changes,,ConsentNotRequestedReason,,string,,,
Property & Equipment,Changes,,ConversionIndicator,,boolean,,,
Property & Equipment,Changes,,BusinessActivitiesIndicator,,boolean,,,
Property & Equipment,Changes,,AttachmentId,FK,int32,,,
Property & Equipment,Changes,,PropertyId,FK,int32,,,
Property & Equipment,Water,,WaterManagmentId,PK,int32,,,
Property & Equipment,Water,,PropertyId,FK,int32,,,
Property & Equipment,Water,,ExternallyRecycledPercent,,double,,"Percentage of recycled water used by the property, during the period. Includes externally supplied recycled water sources.",
Property & Equipment,Water,,RecyclingIndicator,,boolean,,"Is there water recycling in place? Includes all recycled rain and snow water collected after falling on the building; or waste water produced from baths, sinks, showers, clothers washers, dishwashers, lavatories.",
Property & Equipment,Water,,EfficientFittingsIndicator,,boolean,,Are there any water efficient fittings in place? Includes low flow taps or showers; dual flush toilets; push or passive infrared taps.,
Property & Equipment,Water,,TotalUsageAmount,,,,Total water usage in m3,
Property & Equipment,Water,,MeteringIndicator,,boolean,,Is there water metering in place for the whole building? Metering can allow for improved water monitoring; management and targets.,
Property & Equipment,AlterationType,,Alterations ,,string,, Describes provisions in a lease relating to the tenant's ability to alter the premises demised (i.e. leased to it).,
Property & Equipment,AlterationType,,AlterationTypeId,PK,,,The unique identifier of an Alteration Type.,
Property & Equipment,AlterationType,,AlterationTypeName,,String,128,The name of an Alteration Type.,
Property & Equipment,AlterationType,,AlterationTypeDescription,,String,512,The description of an Alteration Type.,
Property & Equipment,AlterationType,,YearLastRenovatedDate,,date,,,
Property & Equipment,AlterationType,,RepairId,FK,int32,,,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairId,PK,int32,,The unique identifier of a Repair.,
Property & Equipment,AlterationType,ExtraordinaryRepair,AssetId,FK,int32,,The unique identifier of an Asset.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairDescription,,string,512,The description of a Repair.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairPlannedTimestamp,,datetime,,The timestamp that the Repair was planned to start.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairStartedTimestamp,,datetime,,The timestamp that Repair actually was started.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairCompletedTimestamp,,datetime,,The timestamp that the Repair was completed.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairEstimatedCost,,decimal,13,The estimated cost of the Repair.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairActualCost,,decimal,13,The actual cost of the Repair.,
Property & Equipment,AlterationType,ExtraordinaryRepair,RepairNote,,string,1024,"Notes, comments or additional information regarding Extraordinary Repairs.",
Property & Equipment,AlterationType,ExtraordinaryRepair,ExtraordinaryRepairTypeId,FK,int32,,The unique identifier of an Extraordinary Repairs Type.,
Property & Equipment,AlterationType,ExtraordinaryRepair,VendorId,FK,int33,,The unique identifier of a Vendor.,
Property & Equipment,AlterationType,ExtraordinaryRepair,ContractId,FK,int34,,The unique identifier of a Contract.,
Property & Equipment,AlterationType,ExtraordinaryRepair,WorkOrderId,FK,int35,,The unique identifier of a Work Order.,
Property & Equipment,AlterationType,ExtraordinaryRepair,AlterationTypeId,FK,in32,,,
Property & Equipment,AlterationType,ExtraordinaryRepairPartyRelationshipType,ExtraordinaryRepairPartyRelationshipTypeId,FK,int32,,The unique identifier of a extraordinary repair party relationship type.,
Property & Equipment,AlterationType,ExtraordinaryRepairPartyRelationshipType,ExtraordinaryRepairPartyRelationshipTypeName,,string,128,The name of a extraordinary repair party relationship type.,
Property & Equipment,AlterationType,ExtraordinaryRepairPartyRelationshipType,ExtraordinaryRepairPartyRelationshipTypeDescription,,string,512,The description of a extraordinary repair party relationship type.,
Property & Equipment,AlterationType,ExtraordinaryRepairPartyRelationshipType,RepairId,FK,int32,,The unique identifier of a Repair.,
Property & Equipment,AlterationType,ExtraordinaryRepairType,ExtraordinaryRepairTypeId,FK,int32,,The unique identifier of an Extraordinary Repairs Type.,
Property & Equipment,AlterationType,ExtraordinaryRepairType,ExtraordinaryRepairTypeName,,string,128,The name of an Extraordinary Repairs Type.,
Property & Equipment,AlterationType,ExtraordinaryRepairType,ExtraordinaryRepairTypeDescription,,string,512,The description of an Extraordinary Repairs Type.,
Property & Equipment,RelatedProperty,,RelatedPropertyId,PK,int32,,The unique identifier of a Related Property.,
Property & Equipment,RelatedProperty,,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,RelatedProperty,,PropertyRelationshipTypeId,,int32,,The unique identifier of a Property Relationship Type.,
Property & Equipment,RelatedProperty,,PeriodStartTimestamp,,datetime,,The period start timestamp for which the property relationship exists.,
Property & Equipment,RelatedProperty,,PeriodEndTimestamp,,datetime,,The period end timestamp for which the property relationship exists.,
Property & Equipment,RelatedProperty,,PropertyRelationshipNote,,string,,"A note, comment or additional information regarding the property relationship.",
Property & Equipment,PropertyLocation,,PropertyLocationId,PK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,,BuildingId,FK,int32,,The unique identifier of a Building.,
Property & Equipment,PropertyLocation,,FloorId,FK,int32,,The unique identifier of a Floor.,
Property & Equipment,PropertyLocation,,SpaceId,FK,int32,,The unique identifier of a Room.,
Property & Equipment,PropertyLocation,,PropertyLocationMaximumCapacity,,int32,,The maximum number of individuals that may occupy the Property Location at any given time.,
Property & Equipment,PropertyLocation,,PropertyLocationHeight,,int32,,The height of the Property Location.,
Property & Equipment,PropertyLocation,,PropertyLocationWidth,,int32,,The width of the Property Location.,
Property & Equipment,PropertyLocation,,PropertyLocationDepth,,int32,,The depth of the Property Location.,
Property & Equipment,PropertyLocation,,LengthWidthHeightUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,PropertyLocation,,PropertyLocationArea,,int32,,The depth of the Property Location.,
Property & Equipment,PropertyLocation,,AreaUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,PropertyLocation,,PropertyLocationFunctionId,FK,int32,,The identifier of the Property Location Function.,
Property & Equipment,PropertyLocation,,PropertyLocationNote,,String,1024,Close,
Property & Equipment,PropertyLocation,,Longitude,,string,,"Geographic coordinate of longitude, easting or other orthogonally equivalent measure in the reference system indicated by CoordinateReferenceSystemCode, as a decimal fraction (+-180.000000). Positives are east and negatives are west.",
Property & Equipment,PropertyLocation,,Latitude,,string,,"Geographic coordinate of latitude, northting or other orthogonally equivalent measure in the reference system indicated by CoordinateReferenceSystemCode, as a decimal fraction (+-90.000000). Positives are north and negatives are south.",
Property & Equipment,PropertyLocation,,Elevation,,string,,,
Property & Equipment,PropertyLocation,,NearestMetropolitanStatisticalArea,,string,,,
Property & Equipment,PropertyLocation,,BuildingDescription,,string,,"if Type is 30 or 40, (Demise is Part of a building) then use this to describe the building of which the demise is part.",
Property & Equipment,PropertyLocation,,BuildingId,FK,,,,
Property & Equipment,PropertyLocation,,FloorId,FK,,,,
Property & Equipment,PropertyLocation,,SpaceId,FK,,,,
Property & Equipment,PropertyLocation,,LengthWidthHeightUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,PropertyLocation,,AreaUomId,,,,,
Property & Equipment,PropertyLocation,,PropertyLocationFunctionId,FK,int32,,The identifier of the Property Location Function.,
Property & Equipment,PropertyLocation,,PropertyLocationNote,,,,,
Property & Equipment,PropertyLocation,,PropertyId,FK,,,,
Property & Equipment,PropertyLocation,,GeographicalLocation,,,,,
Property & Equipment,PropertyLocation,,AlertRegardingLocation,,,,,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostId,PK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostStartDate,,date,,The date that the cost was first allocated to the property location.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostEndDate,,date,,The date that the cost was last allocated to the property location.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostPerUse,,decimal,,The cost of the property location for each use.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostPerUnitOfTime,,decimal,,The cost of the property location for each unit of time.,
Property & Equipment,PropertyLocation,PropertyLocationCost,UnitOfMeasureId,,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,PropertyLocation,PropertyLocationCost,PropertyLocationCostNote,,string,1024,"A note, comment or additional information regarding the Property Location Cost.",
Property & Equipment,PropertyLocation,PropertyLocationParty,PropertyLocationPartyId,PK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PartyId,FK,int32,,The unique identifier of a Party.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PeriodStartDate,,date,,The period start date that the party had an interest in the property location.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PeriodEndDate,,date,,The period end date that the party had an interest in the property location.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PropertyLocationPartyRentalAmount,,decimal,,The amount of rent that is to be paid for the property location by the party.,
Property & Equipment,PropertyLocation,PropertyLocationParty,PropertyLocationPartyNote,,string,1024,"A note, comment or additional information regarding the Property Location Party.",
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,PropertyLocationPartyContractId,PK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,AssetId,FK,int32,,The unique identifier of an Asset.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,ContractId,FK,int32,,The unique identifier of a Contract.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,PartyId,FK,int32,,The unique identifier of a Party.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,PeriodStartDate,,date,,The period start date that the party had an interest in the property location.,
Property & Equipment,PropertyLocation,PropertyLocationPartyContract,AssetContractNote,,string,1024,"A note, comment or additional information regarding the asset contract.",
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PropertyLocationPartyPaymentId,PK,int32,,The unique identifier of a Property Location Party Payment Id.,
